FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service0
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43210609416732, ended at 43210609435810, accumulated -19078, sleeped 19078
Starting HTTP server
Endpoint endpoint1 registered
TCP JSON server listening on :5550
Neighbor service4 registered
Neighbor service1 registered
Neighbor service2 registered
Neighbor service3 registered
Received 247900000 ns, started at 43244391884335, ended at 43244639861303, accumulated -96046, sleeped 247976968
Received 247900000 ns, started at 43244696315937, ended at 43244946024479, accumulated -1904588, sleeped 249708542
Received 247900000 ns, started at 43244954514551, ended at 43245200610001, accumulated -100038, sleeped 246095450
Received 247900000 ns, started at 43245225456158, ended at 43245473347914, accumulated -91794, sleeped 247891756
Received 247900000 ns, started at 43245478941976, ended at 43245726934814, accumulated -184632, sleeped 247992838
Received 247900000 ns, started at 43245731407433, ended at 43245979206279, accumulated -83478, sleeped 247798846
Received 247900000 ns, started at 43245990566574, ended at 43246238469087, accumulated -85991, sleeped 247902513
Received 247900000 ns, started at 43246256745128, ended at 43246504653328, accumulated -94191, sleeped 247908200
Received 247900000 ns, started at 43246514214771, ended at 43246762104645, accumulated -84065, sleeped 247889874
Received 247900000 ns, started at 43246775025042, ended at 43247022938267, accumulated -97290, sleeped 247913225
Received 247900000 ns, started at 43247043687878, ended at 43247291572941, accumulated -82353, sleeped 247885063
Received 247900000 ns, started at 43247327403320, ended at 43247575306675, accumulated -85708, sleeped 247903355
Received 247900000 ns, started at 43247587380874, ended at 43247835281402, accumulated -86236, sleeped 247900528
Received 247900000 ns, started at 43247841423881, ended at 43248089324658, accumulated -87013, sleeped 247900777
Received 247900000 ns, started at 43248158287677, ended at 43248406187807, accumulated -87143, sleeped 247900130
Received 247900000 ns, started at 43248431468809, ended at 43248679364433, accumulated -82767, sleeped 247895624
Received 247900000 ns, started at 43248700348304, ended at 43248948248261, accumulated -82724, sleeped 247899957
Received 247900000 ns, started at 43248952344983, ended at 43249200506905, accumulated -344646, sleeped 248161922
Received 247900000 ns, started at 43249221585429, ended at 43249469219553, accumulated -78770, sleeped 247634124
Received 247900000 ns, started at 43250053118869, ended at 43250301049268, accumulated -109169, sleeped 247930399
Received 247900000 ns, started at 43250678056157, ended at 43250925958698, accumulated -111710, sleeped 247902541
Received 247900000 ns, started at 43251150190388, ended at 43251398171026, accumulated -192348, sleeped 247980638
Received 247900000 ns, started at 43251399830656, ended at 43251647649156, accumulated -110848, sleeped 247818500
Received 247900000 ns, started at 43251652118061, ended at 43251900016194, accumulated -108981, sleeped 247898133
Received 247900000 ns, started at 43251905079643, ended at 43252152977550, accumulated -106888, sleeped 247897907
Received 247900000 ns, started at 43252161059722, ended at 43252408960189, accumulated -107355, sleeped 247900467
Received 247900000 ns, started at 43252414104719, ended at 43252661993026, accumulated -95662, sleeped 247888307
Received 247900000 ns, started at 43252668089062, ended at 43252916015201, accumulated -121801, sleeped 247926139
Received 247900000 ns, started at 43252924419605, ended at 43253172303667, accumulated -105863, sleeped 247884062
Received 247900000 ns, started at 43253176674427, ended at 43253424573674, accumulated -105110, sleeped 247899247
Received 247900000 ns, started at 43253432976617, ended at 43253680890449, accumulated -118942, sleeped 247913832
Received 247900000 ns, started at 43253682062011, ended at 43253929939681, accumulated -96612, sleeped 247877670
Received 247900000 ns, started at 43253933226474, ended at 43254181136943, accumulated -107081, sleeped 247910469
Received 247900000 ns, started at 43254183513481, ended at 43254431473141, accumulated -166741, sleeped 247959660
Received 247900000 ns, started at 43254435089679, ended at 43254682953116, accumulated -130178, sleeped 247863437
Received 247900000 ns, started at 43254685666341, ended at 43254933533200, accumulated -97037, sleeped 247866859
Received 247900000 ns, started at 43254938701694, ended at 43255186649451, accumulated -144794, sleeped 247947757
Received 247900000 ns, started at 43255188537377, ended at 43255437515422, accumulated -1222839, sleeped 248978045
Received 247900000 ns, started at 43255439673897, ended at 43255687475790, accumulated -1124732, sleeped 247801893
Received 247900000 ns, started at 43255865027484, ended at 43256111914600, accumulated -111848, sleeped 246887116
Received 247900000 ns, started at 43256179039520, ended at 43256426944139, accumulated -116467, sleeped 247904619
Received 247900000 ns, started at 43256543027973, ended at 43256790923240, accumulated -111734, sleeped 247895267
Received 247900000 ns, started at 43257039028938, ended at 43257286923805, accumulated -106601, sleeped 247894867
Received 247900000 ns, started at 43257391769601, ended at 43257639682967, accumulated -119967, sleeped 247913366
Received 247900000 ns, started at 43257650544024, ended at 43257898427227, accumulated -103170, sleeped 247883203
Received 247900000 ns, started at 43257930033384, ended at 43258177942121, accumulated -111907, sleeped 247908737
Received 247900000 ns, started at 43258213658581, ended at 43258461544604, accumulated -97930, sleeped 247886023
Received 247900000 ns, started at 43258534040783, ended at 43258781930968, accumulated -88115, sleeped 247890185
Received 247900000 ns, started at 43258861550148, ended at 43259109457894, accumulated -95861, sleeped 247907746
Received 247900000 ns, started at 43259216840481, ended at 43259464753024, accumulated -108404, sleeped 247912543
Received 247900000 ns, started at 43259523856221, ended at 43259771742767, accumulated -94950, sleeped 247886546
Received 247900000 ns, started at 43259834381134, ended at 43260082279158, accumulated -92974, sleeped 247898024
Received 247900000 ns, started at 43260098309372, ended at 43260346220508, accumulated -104110, sleeped 247911136
Received 247900000 ns, started at 43260351108672, ended at 43260598996446, accumulated -91884, sleeped 247887774
Received 247900000 ns, started at 43260606790027, ended at 43260854687150, accumulated -89007, sleeped 247897123
Received 247900000 ns, started at 43260883745408, ended at 43261131747483, accumulated -191082, sleeped 248002075
Received 247900000 ns, started at 43261143269031, ended at 43261391087304, accumulated -109355, sleeped 247818273
Received 247900000 ns, started at 43261398833813, ended at 43261646731246, accumulated -106788, sleeped 247897433
Received 247900000 ns, started at 43261670024706, ended at 43261917918995, accumulated -101077, sleeped 247894289
Received 247900000 ns, started at 43261921267486, ended at 43262169170115, accumulated -103706, sleeped 247902629
Received 247900000 ns, started at 43262186327050, ended at 43262434291408, accumulated -168064, sleeped 247964358
Received 247900000 ns, started at 43262517575281, ended at 43262765411161, accumulated -103944, sleeped 247835880
Received 247900000 ns, started at 43262820649902, ended at 43263068536861, accumulated -90903, sleeped 247886959
Received 247900000 ns, started at 43263145794895, ended at 43263393834413, accumulated -230421, sleeped 248039518
Received 247900000 ns, started at 43263699072993, ended at 43263946856254, accumulated -113682, sleeped 247783261
Received 247900000 ns, started at 43264089031064, ended at 43264336930846, accumulated -113464, sleeped 247899782
Received 247900000 ns, started at 43264399777706, ended at 43264647679747, accumulated -115505, sleeped 247902041
Received 247900000 ns, started at 43264764479942, ended at 43265012361504, accumulated -97067, sleeped 247881562
Received 247900000 ns, started at 43265206258458, ended at 43265456023689, accumulated -1962298, sleeped 249765231
Received 247900000 ns, started at 43265583956604, ended at 43265830013692, accumulated -119386, sleeped 246057088
Received 247900000 ns, started at 43265861032507, ended at 43266108909305, accumulated -96184, sleeped 247876798
Received 247900000 ns, started at 43266122273170, ended at 43266370178441, accumulated -101455, sleeped 247905271
Received 247900000 ns, started at 43266395047499, ended at 43266642955495, accumulated -109451, sleeped 247907996
Received 247900000 ns, started at 43266669365573, ended at 43266918444127, accumulated -1288005, sleeped 249078554
Received 247900000 ns, started at 43266937345217, ended at 43267184058659, accumulated -101447, sleeped 246713442
Received 247900000 ns, started at 43267220679980, ended at 43267468633922, accumulated -155389, sleeped 247953942
Received 247900000 ns, started at 43267515562669, ended at 43267763413918, accumulated -106638, sleeped 247851249
Received 247900000 ns, started at 43267933786143, ended at 43268181716479, accumulated -136974, sleeped 247930336
Received 247900000 ns, started at 43268234822037, ended at 43268482698500, accumulated -113437, sleeped 247876463
Received 247900000 ns, started at 43268541693514, ended at 43268789576672, accumulated -96595, sleeped 247883158
