FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service1
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43211323512485, ended at 43211323541014, accumulated -28529, sleeped 28529
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 247900000 ns, started at 43244815900512, ended at 43245063886987, accumulated -115004, sleeped 247986475
Received 247900000 ns, started at 43245073089427, ended at 43245320968959, accumulated -94536, sleeped 247879532
Received 247900000 ns, started at 43245342111339, ended at 43245590015028, accumulated -98225, sleeped 247903689
Received 247900000 ns, started at 43245613148198, ended at 43245861047881, accumulated -97908, sleeped 247899683
Received 247900000 ns, started at 43245863992599, ended at 43246111912605, accumulated -117914, sleeped 247920006
Received 247900000 ns, started at 43246141862306, ended at 43246389750485, accumulated -106093, sleeped 247888179
Received 247900000 ns, started at 43246414223020, ended at 43246662105254, accumulated -88327, sleeped 247882234
Received 247900000 ns, started at 43246690056050, ended at 43246937956316, accumulated -88593, sleeped 247900266
Received 247900000 ns, started at 43246957449202, ended at 43247205354557, accumulated -93948, sleeped 247905355
Received 247900000 ns, started at 43247212688682, ended at 43247460584933, accumulated -90199, sleeped 247896251
Received 247900000 ns, started at 43247786637110, ended at 43248034547587, accumulated -100676, sleeped 247910477
Received 247900000 ns, started at 43248161685547, ended at 43248409577909, accumulated -93038, sleeped 247892362
Received 247900000 ns, started at 43248544273992, ended at 43248792177212, accumulated -96258, sleeped 247903220
Received 247900000 ns, started at 43248801146151, ended at 43249049176464, accumulated -226571, sleeped 248030313
Received 247900000 ns, started at 43249086985398, ended at 43249334779147, accumulated -120320, sleeped 247793749
Received 247900000 ns, started at 43249343030367, ended at 43249590911023, accumulated -100976, sleeped 247880656
Received 247900000 ns, started at 43249598238967, ended at 43249846131896, accumulated -93905, sleeped 247892929
Received 247900000 ns, started at 43250159959611, ended at 43250407872676, accumulated -106970, sleeped 247913065
Received 247900000 ns, started at 43250787040595, ended at 43251034934940, accumulated -101315, sleeped 247894345
Received 247900000 ns, started at 43251035822791, ended at 43251283715981, accumulated -94505, sleeped 247893190
Received 247900000 ns, started at 43251300684934, ended at 43251548546879, accumulated -56450, sleeped 247861945
Received 247900000 ns, started at 43251599600431, ended at 43251847546323, accumulated -102342, sleeped 247945892
Received 247900000 ns, started at 43251906440125, ended at 43252154333098, accumulated -95315, sleeped 247892973
Received 247900000 ns, started at 43252189258118, ended at 43252437160970, accumulated -98167, sleeped 247902852
Received 247900000 ns, started at 43252486750436, ended at 43252734648159, accumulated -95890, sleeped 247897723
Received 247900000 ns, started at 43252752128559, ended at 43253000017480, accumulated -84811, sleeped 247888921
Received 247900000 ns, started at 43253031036573, ended at 43253278946617, accumulated -94855, sleeped 247910044
Received 247900000 ns, started at 43253361510264, ended at 43253609408572, accumulated -93163, sleeped 247898308
Received 247900000 ns, started at 43253769653104, ended at 43254017562910, accumulated -102969, sleeped 247909806
Received 247900000 ns, started at 43254482310026, ended at 43254730215332, accumulated -108275, sleeped 247905306
Received 247900000 ns, started at 43254762251980, ended at 43255010737100, accumulated -693395, sleeped 248485120
Received 247900000 ns, started at 43255013170865, ended at 43255260482968, accumulated -105498, sleeped 247312103
Received 247900000 ns, started at 43255266844504, ended at 43255515294400, accumulated -655394, sleeped 248449896
Received 247900000 ns, started at 43255519635178, ended at 43255767583784, accumulated -704000, sleeped 247948606
Received 247900000 ns, started at 43255769607985, ended at 43256016911972, accumulated -107987, sleeped 247303987
Received 247900000 ns, started at 43256021432589, ended at 43256270092588, accumulated -867986, sleeped 248659999
Received 247900000 ns, started at 43256271839254, ended at 43256518970114, accumulated -98846, sleeped 247130860
Received 247900000 ns, started at 43256547504061, ended at 43256795411840, accumulated -106625, sleeped 247907779
Received 247900000 ns, started at 43256822791964, ended at 43257070694293, accumulated -108954, sleeped 247902329
