FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=1239
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service2
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43211706138014, ended at 43211706222572, accumulated -84558, sleeped 84558
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 123900000 ns, started at 43244935802929, ended at 43245059715965, accumulated -97594, sleeped 123913036
Received 123900000 ns, started at 43245062425015, ended at 43245186318903, accumulated -91482, sleeped 123893888
Received 123900000 ns, started at 43245196284112, ended at 43245320205958, accumulated -113328, sleeped 123921846
Received 123900000 ns, started at 43245330937753, ended at 43245454819963, accumulated -95538, sleeped 123882210
Neighbor service3 registered
Received 123900000 ns, started at 43245618607139, ended at 43245742509221, accumulated -97620, sleeped 123902082
Received 123900000 ns, started at 43245744119245, ended at 43245868019307, accumulated -97682, sleeped 123900062
Received 123900000 ns, started at 43245872672327, ended at 43245996672201, accumulated -197556, sleeped 123999874
Received 123900000 ns, started at 43246003753182, ended at 43246127546780, accumulated -91154, sleeped 123793598
Received 123900000 ns, started at 43246145460378, ended at 43246269369908, accumulated -100684, sleeped 123909530
Received 123900000 ns, started at 43246316363071, ended at 43246440266551, accumulated -104164, sleeped 123903480
Received 123900000 ns, started at 43246529304795, ended at 43246653198587, accumulated -97956, sleeped 123893792
Received 123900000 ns, started at 43246813490869, ended at 43246937399676, accumulated -106763, sleeped 123908807
Received 123900000 ns, started at 43247908736818, ended at 43248032637738, accumulated -107683, sleeped 123900920
Received 123900000 ns, started at 43248277095504, ended at 43248401141609, accumulated -253788, sleeped 124046105
Received 123900000 ns, started at 43248646735221, ended at 43248770478703, accumulated -97270, sleeped 123743482
Received 123900000 ns, started at 43248772539201, ended at 43248896436578, accumulated -94647, sleeped 123897377
Received 123900000 ns, started at 43248897319675, ended at 43249021216967, accumulated -91939, sleeped 123897292
Received 123900000 ns, started at 43249062188033, ended at 43249186097387, accumulated -101293, sleeped 123909354
Received 123900000 ns, started at 43249716594710, ended at 43249840507235, accumulated -113818, sleeped 123912525
Received 123900000 ns, started at 43250281121613, ended at 43250405070468, accumulated -162673, sleeped 123948855
Received 123900000 ns, started at 43250910071842, ended at 43251033917920, accumulated -108751, sleeped 123846078
Received 123900000 ns, started at 43251079052684, ended at 43251202967463, accumulated -123530, sleeped 123914779
Received 123900000 ns, started at 43251212807473, ended at 43251336681494, accumulated -97551, sleeped 123874021
Received 123900000 ns, started at 43251396912199, ended at 43251520811450, accumulated -96802, sleeped 123899251
Received 123900000 ns, started at 43251853035298, ended at 43251976942096, accumulated -103600, sleeped 123906798
Received 123900000 ns, started at 43251985694798, ended at 43252109598572, accumulated -107374, sleeped 123903774
Received 123900000 ns, started at 43252110543649, ended at 43252234432056, accumulated -95781, sleeped 123888407
Received 123900000 ns, started at 43252238949229, ended at 43252362854976, accumulated -101528, sleeped 123905747
Received 123900000 ns, started at 43252443712274, ended at 43252567639618, accumulated -128872, sleeped 123927344
Received 123900000 ns, started at 43252587364087, ended at 43252711239582, accumulated -104367, sleeped 123875495
Received 123900000 ns, started at 43252734731707, ended at 43252858622429, accumulated -95089, sleeped 123890722
Received 123900000 ns, started at 43252861270892, ended at 43252985166883, accumulated -91080, sleeped 123895991
Received 123900000 ns, started at 43253201037644, ended at 43253324955044, accumulated -108480, sleeped 123917400
Received 123900000 ns, started at 43254214668749, ended at 43254338574113, accumulated -113844, sleeped 123905364
Received 123900000 ns, started at 43254392840313, ended at 43254516743233, accumulated -116764, sleeped 123902920
Received 123900000 ns, started at 43254904793377, ended at 43255028699623, accumulated -123010, sleeped 123906246
Received 123900000 ns, started at 43255029763007, ended at 43255153638855, accumulated -98858, sleeped 123875848
Received 123900000 ns, started at 43255216717094, ended at 43255341015842, accumulated -497606, sleeped 124298748
