FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service3
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43212363565601, ended at 43212363588828, accumulated -23227, sleeped 23227
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service2 registered
Received 247900000 ns, started at 43245505401118, ended at 43245753375166, accumulated -97275, sleeped 247974048
Received 247900000 ns, started at 43245756182063, ended at 43246004070981, accumulated -86193, sleeped 247888918
Received 247900000 ns, started at 43246036041101, ended at 43246283949176, accumulated -94268, sleeped 247908075
Received 247900000 ns, started at 43246320061121, ended at 43246567960375, accumulated -93522, sleeped 247899254
Received 247900000 ns, started at 43246598571150, ended at 43246846466999, accumulated -89371, sleeped 247895849
Received 247900000 ns, started at 43246871366482, ended at 43247119266923, accumulated -89812, sleeped 247900441
Received 247900000 ns, started at 43247141486817, ended at 43247389396828, accumulated -99823, sleeped 247910011
Received 247900000 ns, started at 43247394280377, ended at 43247642176511, accumulated -95957, sleeped 247896134
Received 247900000 ns, started at 43247652843960, ended at 43247900740878, accumulated -92875, sleeped 247896918
Received 247900000 ns, started at 43247901616208, ended at 43248149513407, accumulated -90074, sleeped 247897199
Received 247900000 ns, started at 43248227023675, ended at 43248474930380, accumulated -96779, sleeped 247906705
Received 247900000 ns, started at 43248595032081, ended at 43248842929529, accumulated -94227, sleeped 247897448
Received 247900000 ns, started at 43248976628976, ended at 43249224524405, accumulated -89656, sleeped 247895429
Received 247900000 ns, started at 43249231613891, ended at 43249479519000, accumulated -94765, sleeped 247905109
Received 247900000 ns, started at 43249517063513, ended at 43249764959092, accumulated -90344, sleeped 247895579
Received 247900000 ns, started at 43249771910019, ended at 43250019808323, accumulated -88648, sleeped 247898304
Received 247900000 ns, started at 43250033177140, ended at 43250281082673, accumulated -94181, sleeped 247905533
Received 247900000 ns, started at 43250596904222, ended at 43250844811182, accumulated -101141, sleeped 247906960
Received 247900000 ns, started at 43251247577621, ended at 43251495473709, accumulated -97229, sleeped 247896088
Received 247900000 ns, started at 43251503385704, ended at 43251751483092, accumulated -294617, sleeped 248097388
Received 247900000 ns, started at 43251754391712, ended at 43252002091162, accumulated -94067, sleeped 247699450
Received 247900000 ns, started at 43252016530145, ended at 43252264430842, accumulated -94764, sleeped 247900697
Received 247900000 ns, started at 43252280568685, ended at 43252528646090, accumulated -272169, sleeped 248077405
Received 247900000 ns, started at 43252558013041, ended at 43252805736114, accumulated -95242, sleeped 247723073
Received 247900000 ns, started at 43252867172549, ended at 43253115070365, accumulated -93058, sleeped 247897816
Received 247900000 ns, started at 43253143037270, ended at 43253390942605, accumulated -98393, sleeped 247905335
Received 247900000 ns, started at 43253406205135, ended at 43253654101224, accumulated -94482, sleeped 247896089
Received 247900000 ns, started at 43253676242208, ended at 43253924136662, accumulated -88936, sleeped 247894454
Received 247900000 ns, started at 43253932288664, ended at 43254180191504, accumulated -91776, sleeped 247902840
Received 247900000 ns, started at 43254197154940, ended at 43254445060857, accumulated -97693, sleeped 247905917
Received 247900000 ns, started at 43254448585785, ended at 43254696474517, accumulated -86425, sleeped 247888732
Received 247900000 ns, started at 43254704764356, ended at 43254952673179, accumulated -95248, sleeped 247908823
Received 247900000 ns, started at 43254970795909, ended at 43255218695915, accumulated -95254, sleeped 247900006
Received 247900000 ns, started at 43255256247672, ended at 43255504141950, accumulated -89532, sleeped 247894278
Received 247900000 ns, started at 43255538024809, ended at 43255785930019, accumulated -94742, sleeped 247905210
Received 247900000 ns, started at 43255818110321, ended at 43256066013169, accumulated -97590, sleeped 247902848
Received 247900000 ns, started at 43256165028962, ended at 43256412928931, accumulated -97559, sleeped 247899969
Received 247900000 ns, started at 43256669531180, ended at 43256917428170, accumulated -94549, sleeped 247896990
Received 247900000 ns, started at 43256952470246, ended at 43257200378946, accumulated -103249, sleeped 247908700
