FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service1
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 4, started at 1745373302169356313, ended at 1745373302169356314
Neighbor service4 registered
Received 8, started at 1745373303307854584, ended at 1745373303307854585
Received 9, started at 1745373304066825811, ended at 1745373304066825812
Received 10, started at 1745373304066856185, ended at 1745373304066856186
Received 11, started at 1745373304077438458, ended at 1745373304077438459
Received 12, started at 1745373304160740050, ended at 1745373304160740051
Received 13, started at 1745373304301070535, ended at 1745373304301070536
Received 14, started at 1745373304326471245, ended at 1745373304326471246
Received 15, started at 1745373304461794362, ended at 1745373304461794363
Received 16, started at 1745373304468356546, ended at 1745373304468356547
Received 17, started at 1745373304474630669, ended at 1745373304474630670
Received 18, started at 1745373304508412318, ended at 1745373304508412319
Received 19, started at 1745373304706696899, ended at 1745373304706696900
Received 20, started at 1745373304848010461, ended at 1745373304848010462
Received 21, started at 1745373304933524430, ended at 1745373304933524431
Received 22, started at 1745373305128756359, ended at 1745373305128756360
Received 23, started at 1745373305245930991, ended at 1745373305245930992
Received 24, started at 1745373305407269359, ended at 1745373305407269360
Received 25, started at 1745373305670140388, ended at 1745373305670140389
Received 26, started at 1745373305909597805, ended at 1745373305909597806
Received 27, started at 1745373305932583761, ended at 1745373305932583762
Received 28, started at 1745373306392993011, ended at 1745373306392993012
Received 29, started at 1745373306536679947, ended at 1745373306536679948
Received 30, started at 1745373306589300672, ended at 1745373306589300673
Received 31, started at 1745373306647672528, ended at 1745373306647672529
Received 32, started at 1745373306767844685, ended at 1745373306767844686
Received 33, started at 1745373306847291438, ended at 1745373306847291439
Received 34, started at 1745373306981855329, ended at 1745373306981855330
Received 35, started at 1745373307121601549, ended at 1745373307121601550
Received 36, started at 1745373307242415085, ended at 1745373307242415086
Received 37, started at 1745373307347074400, ended at 1745373307347074401
Received 38, started at 1745373307459260649, ended at 1745373307459260650
Received 39, started at 1745373307552180705, ended at 1745373307552180706
Received 40, started at 1745373307795662329, ended at 1745373307795662330
Received 41, started at 1745373307826987333, ended at 1745373307826987334
Received 42, started at 1745373307934274591, ended at 1745373307934274592
Received 43, started at 1745373308126351256, ended at 1745373308126351257
Received 44, started at 1745373308216424474, ended at 1745373308216424475
Received 45, started at 1745373308449642914, ended at 1745373308449642915
Received 46, started at 1745373308525654791, ended at 1745373308525654792
Received 47, started at 1745373308810066548, ended at 1745373308810066549
Received 48, started at 1745373308816062849, ended at 1745373308816062850
Received 49, started at 1745373308864902191, ended at 1745373308864902192
Received 50, started at 1745373308921073320, ended at 1745373308921073321
Received 51, started at 1745373309041801024, ended at 1745373309041801025
Received 52, started at 1745373309189620045, ended at 1745373309189620046
Received 53, started at 1745373309217763780, ended at 1745373309217763781
Received 54, started at 1745373309328802396, ended at 1745373309328802397
Received 55, started at 1745373309461963417, ended at 1745373309461963418
Received 56, started at 1745373309538138989, ended at 1745373309538138990
Received 57, started at 1745373309700342531, ended at 1745373309700342532
Received 58, started at 1745373309842750004, ended at 1745373309842750005
Received 59, started at 1745373309908102145, ended at 1745373309908102146
Received 60, started at 1745373310002040906, ended at 1745373310002040907
Received 61, started at 1745373310171087413, ended at 1745373310171087414
Received 62, started at 1745373310218541066, ended at 1745373310218541067
Received 63, started at 1745373310317459084, ended at 1745373310317459085
Received 64, started at 1745373310400162041, ended at 1745373310400162042
Received 65, started at 1745373310452813724, ended at 1745373310452813725
Received 66, started at 1745373310543927027, ended at 1745373310543927028
Received 67, started at 1745373311167279227, ended at 1745373311167279228
Received 68, started at 1745373311218680069, ended at 1745373311218680070
Received 69, started at 1745373311254878684, ended at 1745373311254878685
Received 70, started at 1745373311386057288, ended at 1745373311386057289
Received 71, started at 1745373311420087186, ended at 1745373311420087187
Received 72, started at 1745373311513316049, ended at 1745373311513316050
Received 73, started at 1745373311692090461, ended at 1745373311692090462
Received 74, started at 1745373311895116914, ended at 1745373311895116915
Received 75, started at 1745373312101302267, ended at 1745373312101302268
Received 76, started at 1745373312176063426, ended at 1745373312176063427
Received 77, started at 1745373312249423922, ended at 1745373312249423923
Received 78, started at 1745373312370617030, ended at 1745373312370617031
Received 79, started at 1745373312437561354, ended at 1745373312437561355
Received 80, started at 1745373312553502030, ended at 1745373312553502031
Received 81, started at 1745373312611469813, ended at 1745373312611469814
Received 82, started at 1745373312767181851, ended at 1745373312767181852
Received 83, started at 1745373312980324740, ended at 1745373312980324741
Received 84, started at 1745373313033951368, ended at 1745373313033951369
Received 85, started at 1745373313159899298, ended at 1745373313159899299
Received 86, started at 1745373313262294501, ended at 1745373313262294502
Received 87, started at 1745373313370449874, ended at 1745373313370449875
Received 88, started at 1745373313482751314, ended at 1745373313482751315
Received 89, started at 1745373313693287780, ended at 1745373313693287781
Received 90, started at 1745373314038304578, ended at 1745373314038304579
Received 91, started at 1745373314209402765, ended at 1745373314209402766
Received 92, started at 1745373314358793237, ended at 1745373314358793238
Received 93, started at 1745373314362603746, ended at 1745373314362603747
Received 94, started at 1745373314515580019, ended at 1745373314515580020
Received 95, started at 1745373314592198647, ended at 1745373314592198648
Received 96, started at 1745373314710421793, ended at 1745373314710421794
Received 97, started at 1745373314934683462, ended at 1745373314934683463
Received 98, started at 1745373314976947916, ended at 1745373314976947917
Received 99, started at 1745373315162041206, ended at 1745373315162041207
Received 100, started at 1745373315196118974, ended at 1745373315196118975
Received 101, started at 1745373315532452253, ended at 1745373315532452254
Received 102, started at 1745373315753948824, ended at 1745373315753948825
Received 103, started at 1745373315922739790, ended at 1745373315922739791
Received 104, started at 1745373315939942005, ended at 1745373315939942006
Received 105, started at 1745373315947125483, ended at 1745373315947125484
Received 106, started at 1745373315969743698, ended at 1745373315969743699
Received 107, started at 1745373316084202772, ended at 1745373316084202773
Received 108, started at 1745373316278509818, ended at 1745373316278509819
Received 109, started at 1745373316484181050, ended at 1745373316484181051
Received 110, started at 1745373316516276247, ended at 1745373316516276248
Received 111, started at 1745373316931323403, ended at 1745373316931323404
Received 112, started at 1745373316959316942, ended at 1745373316959316943
Received 113, started at 1745373316979306047, ended at 1745373316979306048
Received 115, started at 1745373317036243930, ended at 1745373317036243931
Received 114, started at 1745373317028305802, ended at 1745373317028305803
Received 116, started at 1745373317149364329, ended at 1745373317149364330
