FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=1239
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service2
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 4, started at 1745373302153506746, ended at 1745373302153506747
Neighbor service3 registered
Received 5, started at 1745373302673304298, ended at 1745373302673304299
Received 6, started at 1745373303043525561, ended at 1745373303043525562
Received 7, started at 1745373303044064734, ended at 1745373303044064735
Received 8, started at 1745373303308001084, ended at 1745373303308001085
Received 9, started at 1745373303407418469, ended at 1745373303407418470
Received 10, started at 1745373303518782340, ended at 1745373303518782341
Received 11, started at 1745373303624874687, ended at 1745373303624874688
Received 12, started at 1745373303648260950, ended at 1745373303648260951
Received 13, started at 1745373304165332028, ended at 1745373304165332029
Received 14, started at 1745373304218974595, ended at 1745373304218974596
Received 15, started at 1745373304390310619, ended at 1745373304390310620
Received 16, started at 1745373304708300318, ended at 1745373304708300319
Received 17, started at 1745373304721422540, ended at 1745373304721422541
Received 18, started at 1745373304768969675, ended at 1745373304768969676
Received 19, started at 1745373304771141562, ended at 1745373304771141563
Received 20, started at 1745373304853707742, ended at 1745373304853707743
Received 21, started at 1745373304933696372, ended at 1745373304933696373
Received 22, started at 1745373305128716896, ended at 1745373305128716897
Received 23, started at 1745373305247520349, ended at 1745373305247520350
Received 24, started at 1745373305415002542, ended at 1745373305415002543
Received 25, started at 1745373305612156439, ended at 1745373305612156440
Received 26, started at 1745373305736139784, ended at 1745373305736139785
Received 27, started at 1745373305902230646, ended at 1745373305902230647
Received 28, started at 1745373305944290290, ended at 1745373305944290291
Received 29, started at 1745373306095716642, ended at 1745373306095716643
Received 30, started at 1745373306538258554, ended at 1745373306538258555
