FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service3
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 4, started at 1745373302244625986, ended at 1745373302244625987
Neighbor service2 registered
Received 5, started at 1745373303096804227, ended at 1745373303096804228
Received 6, started at 1745373303383435946, ended at 1745373303383435947
Received 7, started at 1745373303770626478, ended at 1745373303770626479
Received 8, started at 1745373303781820742, ended at 1745373303781820743
Received 9, started at 1745373303857316125, ended at 1745373303857316126
Received 10, started at 1745373303875506383, ended at 1745373303875506384
Received 11, started at 1745373303908294718, ended at 1745373303908294719
Received 12, started at 1745373303926636517, ended at 1745373303926636518
Received 13, started at 1745373304157829333, ended at 1745373304157829334
Received 14, started at 1745373304252190523, ended at 1745373304252190524
Received 15, started at 1745373304390178219, ended at 1745373304390178220
Received 16, started at 1745373304562896570, ended at 1745373304562896571
Received 17, started at 1745373304563651386, ended at 1745373304563651387
Received 18, started at 1745373304630957562, ended at 1745373304630957563
Received 19, started at 1745373304757299632, ended at 1745373304757299633
Received 20, started at 1745373304854231305, ended at 1745373304854231306
Received 21, started at 1745373304933986565, ended at 1745373304933986566
Received 22, started at 1745373305141345401, ended at 1745373305141345402
Received 23, started at 1745373305264581973, ended at 1745373305264581974
Received 24, started at 1745373305415277735, ended at 1745373305415277736
Received 25, started at 1745373305619104427, ended at 1745373305619104428
Received 26, started at 1745373305755205083, ended at 1745373305755205084
Received 27, started at 1745373305903894256, ended at 1745373305903894257
Received 28, started at 1745373306093558031, ended at 1745373306093558032
Received 29, started at 1745373306099967550, ended at 1745373306099967551
Received 30, started at 1745373306538538211, ended at 1745373306538538212
