FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=0
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service4
env=true
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=true)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 1, started at 1745373301910942024, ended at 1745373301910942025
Received 2, started at 1745373301976747068, ended at 1745373301976747069
Received 3, started at 1745373302060825473, ended at 1745373302060825474
Neighbor service2 registered
Received 4, started at 1745373302135813433, ended at 1745373302135813434
Received 5, started at 1745373302666312598, ended at 1745373302666312599
Received 6, started at 1745373302776781262, ended at 1745373302776781263
Received 7, started at 1745373302781335292, ended at 1745373302781335293
Neighbor service1 registered
Received 8, started at 1745373303307597467, ended at 1745373303307597468
Received 9, started at 1745373303399930293, ended at 1745373303399930294
Received 10, started at 1745373303474327685, ended at 1745373303474327686
Received 11, started at 1745373303547424324, ended at 1745373303547424325
Received 12, started at 1745373303551729882, ended at 1745373303551729883
Received 13, started at 1745373304145938038, ended at 1745373304145938039
Received 14, started at 1745373304215032990, ended at 1745373304215032991
Received 15, started at 1745373304285019644, ended at 1745373304285019645
Received 16, started at 1745373304354259879, ended at 1745373304354259880
Received 17, started at 1745373304429342653, ended at 1745373304429342654
Received 18, started at 1745373304506342336, ended at 1745373304506342337
Received 19, started at 1745373304706144155, ended at 1745373304706144156
Received 20, started at 1745373304839057307, ended at 1745373304839057308
Received 21, started at 1745373304933320701, ended at 1745373304933320702
Received 22, started at 1745373305128351819, ended at 1745373305128351820
Received 23, started at 1745373305243862000, ended at 1745373305243862001
Received 24, started at 1745373305402648621, ended at 1745373305402648622
Received 25, started at 1745373305611956151, ended at 1745373305611956152
Received 26, started at 1745373305707093258, ended at 1745373305707093259
Received 27, started at 1745373305783037547, ended at 1745373305783037548
Received 28, started at 1745373305925228101, ended at 1745373305925228102
Received 29, started at 1745373306095501916, ended at 1745373306095501917
Received 30, started at 1745373306538089599, ended at 1745373306538089600
Received 31, started at 1745373306628868325, ended at 1745373306628868326
Received 32, started at 1745373306767050018, ended at 1745373306767050019
Received 33, started at 1745373306840927219, ended at 1745373306840927220
Received 34, started at 1745373306968868513, ended at 1745373306968868514
Received 35, started at 1745373307121424530, ended at 1745373307121424531
Received 36, started at 1745373307242242637, ended at 1745373307242242638
Received 37, started at 1745373307345670902, ended at 1745373307345670903
Received 38, started at 1745373307450271441, ended at 1745373307450271442
Received 39, started at 1745373307549478027, ended at 1745373307549478028
Received 40, started at 1745373307734048442, ended at 1745373307734048443
Received 41, started at 1745373307814878080, ended at 1745373307814878081
Received 42, started at 1745373307903162285, ended at 1745373307903162286
Received 43, started at 1745373308121669450, ended at 1745373308121669451
Received 44, started at 1745373308192672980, ended at 1745373308192672981
Received 45, started at 1745373308264494001, ended at 1745373308264494002
Received 46, started at 1745373308336690851, ended at 1745373308336690852
